'184958f,adivea,2018-06-30,typo in screenshot ref'
'2f74058,adivea,2018-06-30,Added screenshots'
'd25d217,Adela Sobotkova,2018-06-30,Add screenshot refs'
'b770a38,Christian Nassif-Haynes,2018-05-23,Fixed issue in search's hierarchical 'Feature Type' dropdown'
'c8a5bcb,Christian Nassif-Haynes,2018-05-18,BMS2018-9 - Petra's comment 18/May/2018'
'41af92e,Christian Nassif-Haynes,2018-05-18,BMS2018-9 - Petra's comment 17/May/2018'
'bab9a29,petrajanouchova,2018-05-17,updated maps'
'bea50e0,DoxasticFox,2018-05-16,BMS2018-9'
'a5851bc,Christian Nassif-Haynes,2018-05-15,BMS2018-9 (Could use some tidying)'
'9f03eaf,DoxasticFox,2018-05-14,Added last season's (April's) shapes'
'625007f,DoxasticFox,2018-04-18,Adela's latest changes'
'40d11fd,DoxasticFox,2018-04-17,BMS2018-7'
'a8871f8,DoxasticFox,2018-04-17,Merge branch 'master' of https://github.com/FAIMS/bmwhi-survey-2018'
'8f26722,DoxasticFox,2018-04-17,BMS2018-6'
'01fe27f,Christian Nassif-Haynes,2018-04-13,Made actionbar's 'Enable Internal GPS' button work without user first visiting Control/Tracklog'
'd3bb055,Petra,2018-04-05,Update README.md'
'5f9fb24,Petra,2018-04-05,initial readme'
'5b5a068,DoxasticFox,2018-03-21,BMS2018-3 - Tracklog'
'602d20e,DoxasticFox,2018-03-21,BMS2018-3 - Made 'Check for Missing Data' button do something'
'c63106e,DoxasticFox,2018-03-21,BMS2018-3 - Added options to dummy dropdown menu'
'7ea81ed,DoxasticFox,2018-03-16,BMS2018-2'
'ce73242,Christian Nassif-Haynes,2018-03-16,Initial commit'
