'08c680c,petrajanouchova,30/05/2018,Merge branch 'master' of https://github.com/FAIMS/harvard',
'3cad024,petrajanouchova,30/05/2018,new chinese translation + tarball with both translations',
'3f50c7d,Adela Sobotkova,22/05/2018,Update to 2018 version',
'e4a0247,Christian Nassif-Haynes,20/05/2018,blah',
'4f9f16e,Christian Nassif-Haynes,20/05/2018,Added inheritance validation warnings everywhere',
'9e99cc7,Christian Nassif-Haynes,19/05/2018,Warned users that SW Corner coordinates can be out of date',
'f006ac4,Christian Nassif-Haynes,10/05/2018,Removed more superfluous arch16n entries',
'c78cc06,Christian Nassif-Haynes,10/05/2018,Removed some superfluous arch16n entries',
'4fb111d,Christian Nassif-Haynes,10/05/2018,Resolved conflicts',
'7a023ee,Christian Nassif-Haynes,10/05/2018,Fixed arch16n additions',
'6cf698b,Petra,10/05/2018,updating 2018 changes',
'4e9e9de,Christian Nassif-Haynes,10/05/2018,Substituted arch16n keys in printed labels',
'eb2bb7e,Christian Nassif-Haynes,10/05/2018,Produced file containing only additions (intead of diff)',
'e5cbc2a,Christian Nassif-Haynes,10/05/2018,HE-43',
'447cafc,Christian Nassif-Haynes,10/05/2018,HE-41',
'183aa02,Christian Nassif-Haynes,10/05/2018,HE-41 Removed arch16n entries related to performance testing',
'd8cc890,Christian Nassif-Haynes,10/05/2018,Printing and UI changes',
'515e74b,Christian Nassif-Haynes,9/05/2018,Made 'Get Stratum Identifier' button into 'Get Stratum/Feature ID' button',
'215058e,Christian Nassif-Haynes,9/05/2018,HE-40',
'65f5293,Christian Nassif-Haynes,9/05/2018,HE-39',
'5b7d426,Christian Nassif-Haynes,9/05/2018,Merged branch 'labels'',
'5109fb1,Christian Nassif-Haynes,9/05/2018,HE-37 HE-38',
'c971ce8,DoxasticFox,8/05/2018,Done',
'25a849c,Christian Nassif-Haynes,8/05/2018,Partially done',
'bda6d8c,Christian Nassif-Haynes,24/04/2018,HE-34 - QR codes - Loading works, printing doesn't'
'349ea57,Christian Nassif-Haynes,23/04/2018,HE-34 - Rename 'Absolute Height Top' and 'Absolute Height Bottom' to 'Maximum Top Height' and 'Minimum Top Height'',
'cc95ef0,Christian Nassif-Haynes,23/04/2018,HE-34 - Elavations subtracted from 'Trench SW corner Elevation (masl)'',
'4f4c648,Christian Nassif-Haynes,23/04/2018,Housekeeping',
'fbb85b8,Christian Nassif-Haynes,23/04/2018,HE-34 - Trench / Grid SW Corner coordinates - make them writable, greyed out'
'4e42bc9,DoxasticFox,18/04/2018,Swapped Northing and Easting (and commited stuff that was meant to be in the previous commit)',
'b754845,DoxasticFox,18/04/2018,Added validation and removed superfluous data schema entry',
'c5a140a,DoxasticFox,18/04/2018,Made compatible with latest autogen',
'311ac19,DoxasticFox,17/04/2018,Added comment containing SRID',
'17f39c5,DoxasticFox,17/04/2018,Inherited FCN Northing and Easting from Locus (in addition to Trench)',
'3135a4f,Christian Nassif-Haynes,13/04/2018,HE-33 - Just the s/masl/m/ bit',
'bd0f6c5,Christian Nassif-Haynes,13/04/2018,Merge branch 'HE-32'',
'44e65c9,DoxasticFox,12/04/2018,HE-32 Petra's comment 12/Apr/18 9:37 AM',
'57e8d32,Christian Nassif-Haynes,12/04/2018,Reordered Locus_X_Calculated',
'662a074,Christian Nassif-Haynes,12/04/2018,Added TODOs',
'a784cc9,Christian Nassif-Haynes,11/04/2018,Changed interpretations in various places',
'5ec0633,Christian Nassif-Haynes,11/04/2018,Placed Trench / Trench SW Corner Elevation (m) on its own line',
'8707425,DoxasticFox,10/04/2018,Implemented 'Calculate All Elevations' buttons',
